n;fp_XOR;fp_Bloom
100;0.00453872053872049;0.0028282828282828
200;0.00385427135678386;0.0045226130653266
300;0.00385655890003712;0.0026532887402452
400;0.00392397660818709;0.0035087719298245
500;0.003890714762859;0.0039118236472945
600;0.00390224448154326;0.0033667223149693
700;0.00394727161250761;0.0036582873492744
800;0.00390206508135164;0.0032071339173967
900;0.0039326824043175;0.0033395130391793
1000;0.00390156823490152;0.0032012012012012
1100;0.00389726197369505;0.0033815865662999
1200;0.00390149198406074;0.0034264664998609
1300;0.00392874203035861;0.003190620003553
1400;0.00390057524081822;0.003279893801695
1500;0.00392386035134528;0.0033239937736268
1600;0.00390095372107562;0.0032066916823014
1700;0.00390361112072841;0.0031845722397257
1800;0.00392292014081892;0.0032431597801247
1900;0.00390549042432299;0.0033131010781297
2000;0.00391190595297643;0.0032611305652826
